Global_ID,MTR,ENTRY,Rep,block,Location,Check,Plot,End Plot,Expt,Pedigree,Name,Rng,Pas,Year,PLOTWT,MOIST,SDWT,FLWR,HT,LDG,DS,CBB,P_FT,CWT_A,ADJ_SDWT
20011008,97,18,1,2,SVREC,0,1008,FALSE,2001,N15331/N16404,N19239,2,35,2020,1958.2,14.14,19.2,44,45,2,5,2,15,39.4197087,20.10380488
20051008,97,10,1,2,SVREC,0,1008,FALSE,2005,G16339/G16318,G19623,2,49,2020,1697,13.06,34.5,44,53,2,5,5,15,34.59130594,36.57841463
20071008,96,14,1,3,SVREC,0,1008,FALSE,2007,R16519/R16518,R19502,3,55,2020,1963.3,13.59,33,44,46,2,5,2,15,39.77554619,34.7747561
20111008,96,24,1,2,SVREC,0,1008,FALSE,2011,"ND121630, ND PEGASUS",I15652,2,62,2020,2056.4,15.09,40.1,42,50,2,4,2,15,40.9384991,41.52306098
20121008,96,10,1,2,SVREC,0,1008,FALSE,2012,GN16-7-2,I20805,2,73,2020,1862.7,13.1,37.9,41,45,3,4,3,15,37.95143233,40.1647561
20061008,92,11,1,2,SVREC,0,1008,FALSE,2006,P16911/P16901,P19713,2,81,2020,2223.3,14.37,32.6,46,61,2,5,1,15,44.63643407,34.04314634
20031008,93,91,,2,SVREC,1,1008,FALSE,2003,"MEDALIST/N08003, ALPENA",N11283,1,89,2020,1688.2,14.61,18.2,47,58,2,5,2,16,31.68601811,18.95241463
20041008,94,23,,1,SVREC,0,1008,FALSE,2004,B14302/B15430,B20526,1,99,2020,1647.2,13.83,18,47,41,3,4,2,16,31.1988929,18.91536585
20091008,94,107,,1,SVREC,0,1008,FALSE,2009,S17702/R17604,R20707,1,162,2020,1155.6,12.61,35,49,40,3,5,1,16,22.19760041,37.30060976
20131009,97,16,1,2,SVREC,0,1009,FALSE,2013,B10244/B13218,B18201,2,5,2020,1197.8,12.9,20,45,55,1,5,3,15,24.46064721,21.24390244
20021009,97,16,1,2,SVREC,0,1009,FALSE,2002,B10244/B13218,B18201,2,24,2020,1293.9,14.34,19.2,46,49,1,5,5,15,25.98628895,20.05697561
20011009,96,16,1,2,SVREC,4,1009,FALSE,2001,"COOP 03019, MERLIN",I11264,2,36,2020,1540.3,14.09,19.4,45,37,2,5,5,15,31.02519464,20.32504878
20051009,98,15,1,3,SVREC,0,1009,FALSE,2005,G13467/G13479,G17410,3,46,2020,2063,13.5,33.6,45,52,2,5,2,15,41.83895374,35.44390244
20071009,100,18,1,3,SVREC,0,1009,FALSE,2007,S14706/R13752,S18903,3,56,2020,1761.8,15.26,39.6,43,30,4,2,1,15,35.00342536,40.92321951
20111009,96,19,1,2,SVREC,3,1009,FALSE,2011,"PNE-6-94-75/Kodiak, LAPAZ",I07113,2,63,2020,2143.9,14.88,37.8,43,31,3,4,2,15,42.78599336,39.2382439
20121009,95,3,1,3,SVREC,0,1009,FALSE,2012,"Matterhorn/PT7-2, SB3_0143",I19738,3,70,2020,1197,16.17,32,42,35,4,2,5,15,23.52659611,32.71414634
20061009,94,3,1,3,SVREC,0,1009,FALSE,2006,P14815/I15643,P19702,3,78,2020,1538.6,19.88,35.9,43,45,2,4,1,15,28.90228299,35.07692683
20031009,94,62,,2,SVREC,0,1009,FALSE,2003,N17506/N16405,N20376,1,90,2020,991.4,12.43,17.3,49,51,3,4,3,16,19.08275265,18.47513415
20041009,93,146,,1,SVREC,2,1009,FALSE,2004,"B04644/ZORRO, ZENITH",B10244,1,100,2020,1822.5,12.45,18,47,50,2,5,1,16,35.07199286,19.21829268
20091009,95,110,,1,SVREC,0,1009,FALSE,2009,S17702/R17605,R20710,1,163,2020,1102.5,13.25,32.5,46,44,2,5,1,16,21.02252309,34.38262195
20131010,97,1,1,2,SVREC,0,1010,FALSE,2013,Zenith/B10215,B16501,2,6,2020,1423,12.35,20.7,45,56,1,6,4,15,29.24302535,22.12628049
20021010,97,1,1,2,SVREC,0,1010,FALSE,2002,Zenith/B10215,B16501,2,25,2020,1744.3,14.09,22.1,46,52,1,6,4,15,35.13422515,23.15379268
20011010,96,1,1,2,SVREC,0,1010,FALSE,2001,N13120/PR00806-81,N18103,2,37,2020,1803.4,14.48,22.4,46,57,2,5,4,15,36.1597349,23.36156098
20051010,96,19,1,3,SVREC,0,1010,FALSE,2005,G16346/G16318,G19611,3,47,2020,1859.6,12.78,38.5,43,56,2,5,3,15,38.02779115,40.95085366
20071010,98,13,1,4,SVREC,4,1010,FALSE,2007,"R94037/R94161, MERLOT",R98026,4,54,2020,1881.3,13.53,39.2,44,44,4,3,3,15,38.14072945,41.33687805
20111010,98,40,1,2,SVREC,0,1010,FALSE,2011,Eldorado*/Palomino//G13444 (SDP),P19103,2,64,2020,1649.9,12.81,35.2,43,33,3,3,4,15,33.72793719,37.42790244
20121010,100,25,1,3,SVREC,3,1010,FALSE,2012,"ND020351, STAMPEDE",I05834,3,71,2020,1263,13.04,34.2,42,50,3,3,4,15,25.75065984,36.26868293
20061010,92,2,1,3,SVREC,0,1010,FALSE,2006,P11522/LONG'S PEAK,P18608,3,79,2020,1761.4,15.36,33.7,45,50,1,5,1,15,34.95418069,34.78497561
20031010,94,60,,2,SVREC,0,1010,FALSE,2003,N17506/N14229,N20372,1,91,2020,1342.8,14.98,15.5,49,46,3,4,4,16,25.09395933,16.07085366
20041010,92,16,,2,SVREC,0,1010,FALSE,2004,B11519/B17106,B20519,1,101,2020,1267.9,13.67,20.2,47,48,2,4,1,16,24.05932836,21.26665854
20091010,97,51,,2,SVREC,0,1010,FALSE,2009,I13401/R12844,R20651,1,164,2020,889.4,13.09,31.4,54,49,2,5,1,16,16.9904011,33.28017073
